id,name,score
0,czxrwgdt,5.673082620360603
1,eqjkcsvo,0.3256307883166998
2,jxfcfght,27.723134174467813
3,bjluwwyi,3.9791780552611455
4,kegeychk,80.9889516535796
5,latuflwd,89.10896505170645
6,rltkorin,35.45957037367317
7,rlnahdub,76.2436345119851
8,rsbrsvra,24.349877219823757
9,rdkcplgh,35.33584119143164
10,vckslyae,0.9653263331000361
11,xikxszlo,80.74494878225251
12,ldttfzii,15.610320125926636
13,rwjugxxy,17.245683822461487
14,ahoihacd,16.0997439704894
15,dkfcrjug,32.701026981314854
16,nsikxhtf,74.4482231515833
17,nbgjeydh,8.880337413997118
18,kvoizpfl,63.514494842452095
19,beyukvhm,90.25244206627949
20,bombksrz,11.231697778998583
21,fctftqto,14.510691369858819
22,ywnzaxsp,1.1940935315976842
23,bcyudpjh,37.318810955079876
24,hbhdpzgs,82.49363236979896
25,honwnisj,11.646531746746891
26,tzeyrnjv,22.39646776756803
27,ekrdlsbp,74.54908352369317
28,qavqutlw,93.53386941802874
29,bkwtrkdj,60.16808023723949
30,swxoteln,56.17667973021822
31,uvrwzcap,5.015657575640486
32,pzmvrnno,79.78495856348539
33,idpiegmu,87.97362681431721
34,tmgwxgpv,92.2645314592683
35,wtgllrad,62.52497176034577
36,jekrboxd,30.901864560817693
37,bduvrjpk,10.093905372744716
38,slemtlpr,10.994394601681833
39,nheddemh,23.33689888236583
40,cjnxzfkd,15.79379290878432
41,ezxsiadp,10.981879129233029
42,twzjtsfc,18.476440788059968
43,ppkdjgdp,95.80619286188872
44,nujzewyx,81.3942015501541
45,ikcpscmt,87.79983275094307
46,qvjshjyu,74.67673450011463
47,gsajyvdk,38.461526117135826
48,ukmvyeun,11.614099453711136
49,iyinzwen,78.77694357911834
50,eivoemti,29.326254120459836
51,rusbezdp,81.19311839444897
52,knjvmyzs,39.93051284951006
53,rudzusfw,87.59606629639558
54,hwqgrmyo,52.20579326553815
55,rgzratcb,65.24230721011097
56,bixsudwb,73.14231476183748
57,fgmxxqvn,53.81978973381154
58,hjmnmrpi,38.44727644166749
